PRODUCT_INFO_ID,GROUP_PRODUCT_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD,POWER,WEIGHT,VOLUME
571596,Robot hút bụi,"robot hút bụi , robot hút bụi neato botvac connected d401 đen",SMSMH000017,7699800,8469780,76998,Giá trị đơn hàng > 30 triệu,7875600,8663160,157512,Giá trị đơn hàng từ 10-30 triệu,8543700,9398070,Robot hút bụi NEATO BOTVAC CONNECTED D401 ĐEN,"
• Hộp bụi: 700 ml 
• Công suất hoạt động: 38W 
• Công suất hút: 1200 -1600 Pa 
• Độ ồn cao nhất: 78 dB 
• Bộ lọc: Bộ lọc HEPA 
• Phiên bản: Quốc tế 
• Dung lượng pin: 2100 mAh 
• Thời gian sử dụng: Sạc khoảng 2 - 3 giờ, dùng khoảng 75 phút 
• Kích thước, khối lượng: Ngang 33 cm - Cao 10 cm - Sâu 32 cm - 3.4 kg 
• Công nghệ: + Công nghệ SpinFlow Power Clean + Công nghệ sạc nhanh Quick Boost 
• Tiện ích: + Tường ảo thông minh Neato NO-Go line + Điều hướng thông minh nhờ công nghệ SmartLaserTM + Cảm biến chống rơi, chống va chạm + Điều khiển qua kết nối trên điện thoại thông minh + Lưu được 1 bản đồ + Tự quay về đế/trạm sạc + Tính năng tường ảo + Hẹn giờ
giá: 8059920",8059920,6,38,0.0,0.0
571597,Robot hút bụi,"robot hút bụi , robot hút bụi lau nhà ecovacs deebot x1 omni - xám",SMRBT000001,20640800,22704880,206408,Giá trị đơn hàng > 30 triệu,21112000,23223200,422240,Giá trị đơn hàng từ 10-30 triệu,22902800,25193080,Robot hút bụi lau nhà Ecovacs Deebot X1 Omni - xám,"
• Pin/dung lượng: Lithium 14.8V-DC/5200mAh 
• Điện áp sử dụng: 100-240V 
• Thời gian hoạt động: 120′ – 180′ 
• Khả năng vượt vật cản tối đa: 2cm 
• Kích thước (Dài, Rộng, Cao :cm): 35 x 35 x 9.3 
• Kí hiệu dock sạc – điện áp: CH1630A – 14.8V 
• Thời gian sạc pin: 5h 
• Trọng lượng: 5,2kg 
• Tiếng ồn khi hoạt động (dBA) <100dB 
• Công suất/ lực hút: 5000Pa 
• Điều chỉnh độ ẩm: Có 
• Dung tích hộp chứa bụi: 380ml 
• Dung tích ngăn đựng nước: 200ml 
• Hệ thống điều hướng AIVI 3D 
• Công nghệ thiết lập bản đồ TrueMapping 2.0 
• Chức năng làm sạch: Quét hút + lau + Tự giặt khăn lau 
• Diện tích căn hộ phù hợp <200m2/ nhà nhiều tầng 
• Cảm biến chống va chạm: Có 
• Hẹn giờ chạy tự động: Có + hẹn giờ theo khu vực 
• Hiển thị bản đồ 3D: Có 
• Thông báo bằng giọng nói: Có 
• Trợ lý giọng nói YIKO: Có 
• Nâng cấp phần mềm OTA: Có
giá: 21605870",21605870,9,0,0.0,0.2
