PRODUCT_INFO_ID,GROUP_PRODUCT_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD,POWER,WEIGHT,VOLUME
571603,Máy Giặt,"máy giặt , máy giặt electrolux lồng ngang 10kg màu trắng ewf1024d3wb",128004000005,9757400,10733140,97574,Giá trị đơn hàng > 80 triệu,9971100,10968210,199422,Giá trị đơn hàng từ 50-80 triệu,10816800,11898480,Máy giặt Electrolux lồng ngang 10kg màu trắng EWF1024D3WB,"Loại máy giặt: Cửa trước 
Lồng giặt: Lồng ngang 
Khối lượng giặt: 10 Kg 
Số người sử dụng: Từ 5 - 7 người (9.5 - 10 kg) 
Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
Tốc độ quay vắt tối đa: 1200 vòng/phút 
Chất liệu vỏ máy: Thép không gỉ 
Chất liệu nắp máy: Nhựa ABS + Gỗ Sản xuất tại: Thái Lan 
Thời gian bảo hành động cơ: 10 năm 
Hiệu suất sử dụng điện: 21.6 Wh/kg 
Loại Inverter: Công nghệ EcoInverter 
Chương trình giặt: Đồ trải giường, Giặt nhanh , Giặt tiết kiệm, Vắt, Vệ sinh lồng giặt, Xả + vắt, Đồ cotton, Đồ hỗn hợp, Đồ mỏng, Đồ trẻ sơ sinh 
Công nghệ giặt: Công nghệ giặt hơi nước Hygienic Care,Giặt nước nóng 
Bảng điều khiển: Song ngữ Anh - Việt có nút xoay, cảm ứng và màn hình hiển thị 
Tiện ích: Chỉnh số vòng vắt, Giặt sơ, Khóa trẻ em, Thêm đồ trong khi giặt, Trì hoãn kết thúc, Xả thêm 
Kích thước, khối lượng: Cao 85 cm - Ngang 60 cm - Sâu 64 cm - Nặng 72 kg Chiều dài ống cấp nước: 134 cmChiều dài ống thoát nước: 222 cm
giá: 11898480",11898480,9,0,10.0,0.0
571590,Máy Giặt,"máy giặt , máy giặt electrolux ultimatecare 300 inverter 10 kg ewf1024m3sb",128004000002,10454800,11500280,104548,Giá trị đơn hàng > 80 triệu,10683800,11752180,213676,Giá trị đơn hàng từ 50-80 triệu,11590000,12749000,Máy giặt Electrolux UltimateCare 300 Inverter 10 kg EWF1024M3SB,"Loại máy giặt: Cửa trước 
Lồng giặt: Lồng ngang 
Khối lượng giặt: 10 Kg 
Số người sử dụng: Từ 5 - 7 người (9.5 - 10 kg) 
Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
Tốc độ quay vắt tối đa: 1200 vòng/phút 
Chất liệu lồng giặt: Thép không gỉ 
Chất liệu vỏ máy: Thép không gỉ 
Chất liệu nắp máy: Nhựa ABS + Gỗ Sản xuất tại: Thái Lan 
Thời gian bảo hành động cơ: 10 năm 
Hiệu suất sử dụng điện: 21.8 Wh/kg 
Loại Inverter: Công nghệ EcoInverter 
Chương trình giặt: Đồ trải giường, Giặt nhanh 15 phút, Giặt nhanh 39 phút, Vắt, Vệ sinh lồng giặt, Xả + vắt, Đồ cotton, Đồ hỗn hợp, Đồ mỏng, Đồ trẻ sơ sinh Công nghệ giặt: Công nghệ Hygienic Care giúp loại bỏ vi khuẩnGiặt nước nóng 
Bảng điều khiển: Song ngữ Anh - Việt 
Tiện ích: Chỉnh số vòng vắt, Giặt sơ, Khóa trẻ em,Thêm đồ trong khi giặt, Trì hoãn kết thúc, Xả thêm 
Kích thước, khối lượng: Cao 85 cm - Ngang 60 cm - Sâu 70 cm - Nặng 72 kg Chiều dài ống cấp nước: 133 cm Chiều dài ống thoát nước: 218 cm
giá: 12749000",12749000,11,0,10.0,0.0
571604,Máy Giặt,"máy giặt , máy giặt aqua cửa trên - 8kg aqw-ks80gt.s",128003000001,3875900,4263490,38759,Giá trị đơn hàng > 40triệu,3960700,4356770,79214,Giá trị đơn hàng từ 20-40 triệu,4296700,4726370,Máy giặt Aqua cửa trên - 8Kg AQW-KS80GT.S,"Cửa trên - Lồng đứng 
Khối lượng giặt: 8 Kg 
Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
Tốc độ quay vắt tối đa: 775 vòng/ phút 
Chất liệu lồng giặt: Thép không gỉ 
Chất liệu vỏ máy: Kim loại sơn tĩnh điện 
Chất liệu nắp máy: Nhựa ABS + Kính 
Thời gian bảo hành động cơ:2 năm 
Hiệu suất sử dụng điện: 11.3 Wh/kg 
Mâm giặt kháng khuẩn ABT 
Bảng điều khiển: Song ngữ Anh - Việt có nút nhấn Khóa trẻ em 
Tự khởi động lại khi có điện 
Van sử dụng mực nước thấp 
Cao 93 cm - Ngang 52.7 cm - Sâu 56.9 cm - Nặng 30.1 kg
giá: 4726370",4726370,8,0,8.0,0.0
571582,Máy Giặt,"máy giặt , máy giặt aqua 9 kg aqw-f91gt.s",M&EGD000250,0,0,0,0,0,0,0,0,0,0,Máy Giặt Aqua 9 Kg AQW-F91GT.S,"
• Loại máy giặt: Cửa trên 
• Lồng giặt: Lồng đứng 
• Khối lượng giặt: 9 Kg 
• Số người sử dụng: Từ 3 - 5 người 
• Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
• Tốc độ quay vắt tối đa: 700 vòng/phút 
• Chất liệu lồng giặt: Thép không gỉ 
• Chất liệu vỏ máy: Kim loại sơn tĩnh điện 
• Chất liệu nắp máy: Kính chịu lực 
• Hiệu suất sử dụng điện: 10.9 Wh/kg 
• Chương trình giặt: Chăn mền, Vắt cực khô, Giặt mạnh, Giặt ngâm, Giặt nhanh, Giặt nhẹ, Giặt thơm, Giặt tiêu chuẩn 
• Công nghệ giặt: Diệt khuẩn khử mùi Nano Ag+ Giặt nhiều luồng nước phun MultiJet 
• Bảng điều khiển: Song ngữ Anh - Việt 
• Tiện ích: Hẹn giờ giặt, Khóa trẻ em, Van sử dụng mực nước thấp, Vệ sinh lồng giặt 
• Kích thước, khối lượng: Cao 100.6 cm - Ngang 53.3 cm - Sâu 58 cm - Nặng 36 kg 
• Chiều dài ống cấp nước: 128 cm 
• Chiều dài ống thoát nước: 77 cm
giá: 5759050",5759050,11,0,9.0,0.0
571605,Máy Giặt,"máy giặt , máy giặt aqua cửa trên - 10kg aqw-u100ft.bk",128003000002,0,0,0,0,0,0,0,0,0,0,Máy giặt Aqua cửa trên - 10Kg AQW-U100FT.BK,"Loại máy giặt: Lồng đứng 
Động Cơ : Curoa 
Khối lượng giặt: 10 kg 
Lồng GiặtThép: không gỉ 
Khử mùi diệt khuẩn 
Khóa trẻ em 
Màn hình hiển thị thời gian 
Nắp máy,Nắp kính cường lực tràn viền 
Dòng điện : 220v/50Hz 
Tốc độ vắt: 700 vòng/phút 
Kích thước (R*S*C)560 x 630 x 1006 
Trọng lượng: 36,5 kg 
Sản xuất tại Việt Nam 
Bảo hành: 24 Tháng
giá: 6074970",6074970,11,0,10.0,0.0
571591,Máy Giặt,"máy giặt , máy giặt electrolux ultimatecare 500 inverter ewf1024p5sb",128004000003,11849800,13034780,118498,Giá trị đơn hàng > 80 triệu,12109200,13320120,242184,Giá trị đơn hàng từ 50-80 triệu,13136400,14450040,Máy giặt Electrolux UltimateCare 500 Inverter EWF1024P5SB,"Loại máy giặt: Cửa trước 
Lồng giặt: Lồng ngang 
Khối lượng giặt: 10 Kg 
Số người sử dụng: Từ 5 - 7 người 
Kiểu động cơ: Truyền động gián tiếp (dây Curoa) 
Tốc độ quay vắt tối đa: 1200 vòng/phút 
Chất liệu lồng giặt: Thép không gỉ 
Chất liệu vỏ máy: Kim loại sơn tĩnh điện 
Chất liệu nắp máy: Nhựa + Kính cường lực, thép 
Sản xuất tại: Thái Lan 
Thời gian bảo hành động cơ: 10 năm 
Hiệu suất sử dụng điện: 16.5 Wh/kg 
Loại Inverter: Công nghệ EcoInverter
Chương trình giặt: Chế độ yêu thích, Giặt 60 phút, Đồ trải giường, Giặt nhanh 15 phút, Giặt nhanh 39 phút, Giặt tiết kiệm, Vắt, Vệ sinh lồng giặt, Xả + vắt, Đồ cotton, Đồ hỗn hợp, Đồ len, Đồ mỏng, Đồ thể thao, Đồ trẻ em Công nghệ giặt: Công nghệ giặt hơi nước Hygienic CareCông nghệ UltraMix hoà tan nước giặt hiệu quả 
Bảng điều khiển: Song ngữ Anh - Việt có nút xoay, cảm ứng và màn hình hiển thị
Tiện ích: Chỉnh nhiệt độ nước, Chỉnh số vòng vắt, Khóa trẻ em, Lưu chương trình yêu thích, Quản lý thời gian, Thêm quần áo khi máy đang giặt, Trì hoãn kết thúc, Xả thêm, Chế độ giặt sơ tự động 
Kích thước, khối lượng: Cao 85 cm - Ngang 60 cm - Sâu 65.5 cm - Nặng 76 kg Chiều dài ống cấp nước: 134 cmChiều dài ống thoát nước: 209 cm
giá: 14450040",14450040,8,0,10.0,0.0
