PRODUCT_INFO_ID,GROUP_PRODUCT_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD,POWER,WEIGHT,VOLUME
509295,Bàn là,"bàn là , bàn ủi khô bluestone dib-3726 1300w",M&EBL100021,309100,340010,3091,Giá trị đơn hàng > 10 triệu,315800,347380,6316,Giá trị đơn hàng từ 5-10 triệu,342600,376860,Bàn Ủi Khô Bluestone DIB-3726 1300W,"
• Công suất: 1300W 
• Mặt đế: Hợp kim nhôm 
• Chức năng: Ủi khô 
• Tiện ích: Có rãnh cúc tiện lợi; Không xoắn dây (dây nguồn xoay 360 độ) 
• Kích thước: Ngang 25 cm - Cao 13 cm - Sâu 11.2 cm 
• Khối lượng: 0.7 kg 
• Thương hiệu của: Singapore
giá: 376860",376860,23,1300,0.7,0.0
571578,Bàn là,"bàn là , bàn ủi hơi nước philips gc1740/20 2000w",M&EGD000254,463300,509630,4633,Giá trị đơn hàng > 10 triệu,473500,520850,9470,Giá trị đơn hàng từ 5-10 triệu,513600,564960,Bàn ủi hơi nước Philips GC1740/20 2000W,"
• Màu sắc: Xanh dương nhạt 
• Loại bàn ủi: Hơi nước 
• Chiều dài dây dẫn: 1.9m 
• Chất liệu đế: Chống dính 
• Công suất: 2000W 
• Dung tích bình nước: 220 ml 
• Tự làm sạch: Tự làm sạch - chống đóng cặn 
• Điều chỉnh hơi nước: Ủi khô, Ủi hơi nước, Phun tia, Phun hơi tăng cường 
• Khối lượng sản phẩm (kg): 1.01 kg 
• Kích thước sản phẩm: 290 x 156 x 129 mm
giá: 564960",564960,54,2000,1.01,0.22
