PRODUCT_INFO_ID,GROUP_PRODUCT_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD,POWER,WEIGHT,VOLUME
577866,Thiết bị Webcam,"thiết bị webcam , webcam 4k, góc nhìn 120 độ uc w21",ITICT003633,0,0,0,0,0,0,0,0,0,0,"Webcam 4k, góc nhìn 120 độ UC W21","
• Độ phân giải: Ultra HD 4K @ 25fps 
• Góc nhìn: 120° DFoV 
• Công nghệ: HDR Mảng Mic 2 phần tử; HDR Lấy nét tự động 
• Thuật toán giảm nhiễu: 2D & 3D DNR 
• Ống kính: chữ T 
• Xoay ngang: 360° 
• Điều chỉnh góc khác nhau: ≤10 ° 
• Kết nối cổng: TypeC
giá: 3799620",3799620,33,0,0.0,0.0
577876,Thiết bị Webcam,"thiết bị webcam , webcam maxhub 1080 uc w10",ITICT003631,0,0,0,0,0,0,0,0,0,0,Webcam Maxhub 1080 UC W10,"
• Độ phân giải: 1080p/30fps 
• Định dạng xuất: MJPG, H.264 & YUY2 
• Tích hợp: 2 micro với khả năng thu lên đến 4 mét 
• Công nghệ: 3D-DNR 
• Chất lượng hiệu suất: 20 LUX 
• Kết nối: Type-C 
• Giao thức tiêu chuẩn: UAC và UVC 
• Tương thích: với nhiều phần mềm Zoom, Microsoft Teams, Skype,... 
• Góc rộng: 71° 
• Trọng lượng: 68g
giá: 1266540",1266540,17,0,0.0,0.0
577865,Thiết bị Webcam,"thiết bị webcam , webcam 4k, góc nhìn 80 độ uc w20",ITICT003632,0,0,0,0,0,0,0,0,0,0,"Webcam 4k, góc nhìn 80 độ UC W20","
• Chất lượng: 4k @ 30fps 
• Hình ảnh: 30fps 4K hoặc 720p Ultra HD 
• Công nghệ: DNR 2D & 3D Lấy nét tự động 
• Ống kính: chữ T 
• Xoay ngang: 360 ° 
• Điều chỉnh góc khác nhau: ≤10 ° 
• Kết nối: USB TypeC 
• Tính năng nén video: H.264 
• Cảm biến: 13MP 
• Trường nhìn: 80 độ
giá: 3215080",3215080,21,0,0.0,0.0
577819,Thiết bị Webcam,"thiết bị webcam , usb, camera hội nghị 4k, tích hợp mic và loa uc s05",ITICT003634,0,0,0,0,0,0,0,0,0,0,"USB, camera hội nghị 4k, tích hợp mic và loa UC S05","
• Độ phân giải: FPS 4k Ultra-HD 
• Góc nhìn: 120° 
• Khả năng Zoom: lên đến 15x 
• Kết nối: USB-C Camera tích hợp Micro 
• Tích hợp: 6 micro array 
• Phạm vi hoạt động của loa: 8m - thích hợp cho phòng họp lớn 
• Công suất loa: 8W 
• Cảm biến: 12MP 1/2.3inch
giá: 10911780",10911780,18,8,0.0,0.0
577863,Thiết bị Webcam,"thiết bị webcam , bluetooth mic và loa bm20",ITICT003636,0,0,0,0,0,0,0,0,0,0,Bluetooth mic và loa BM20,"
• Số micro: 6 Micro đa hướng 
• Xoay ngang: 360 ° 
• Khoảng cách bắt: 4m 
• Loa: 1 Loa 5W 
• Pin sạc: 2200mAh 
• Thời gian sử dụng: 8 giờ 
• Kết nối: USB Type C/ Audio Cable/ Bluetooth (USB Dongle Option) 
• Đường kính x Chiếu cao: 120 x 35mm 
• Trọng lượng: 380g 
• Màu: Dark Gray 
• Chất liệu vỏ: Kim loại
giá: 3604810",3604810,17,0,0.0,0.0
