PRODUCT_INFO_ID,GROUP_PRODUCT_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD,POWER,WEIGHT,VOLUME
509345,Lò vi sóng,"lò vi sóng , lò vi sóng bluestone mob-7716 có nướng 20 lít",M&ELVS100002,1924600,2117060,19246,Giá trị đơn hàng >10 triệu,1966700,2163370,39334,Giá trị đơn hàng từ 5-10 triệu,2133500,2346850,Lò Vi Sóng Bluestone MOB-7716 có nướng 20 lít,"
• Loại lò: Lò vi sóng có nướng 
• Dung tích: 20 lít 
• Công suất vi sóng: 1270W 
• Công suất nướng: 1000W 
• Chất liệu khoang lò: Thép không gỉ 
• Thương hiệu của: Singapore 
• Sản xuất tại: Trung Quốc 
• Năm ra mắt: 2020 
• Chức năng chính: Rã đông, hâm, nấu, nướng 
• Chức năng khác: Nướng kết hợp vi sóng 
• Ngôn ngữ: Tiếng Việt 
• Bảng điều khiển: Nút vặn 
• Tiện ích: Chuông báo khi nấu xong 
• Hẹn giờ: lên tới 35 phút 
• Khoang lò: có đèn 
• Kích thước, khối lượng: Ngang 43 cm - Cao 25.7 cm - Sâu 32.7 cm - Nặng 12.5 kg 
• Kích thước khoang lò: Ngang 27.5 cm - Cao 17.5 cm - Sâu 29.1 cm
giá: 2346850",2346850,28,1000,0.0,20.0
622474,"Lò vi sóng , lò nướng","lò vi sóng , lò nướng , nồi lẩu nướng đa năng kalite kl- 666 4 lít",M&EGD000229,0,0,0,0,0,0,0,0,0,0,Nồi lẩu nướng Đa năng KALITE KL- 666 4 lít,"
• Thương hiệu: Kalite 
• Dung tích: 4 lít 
• Công suất: 1300W 
• Lòng nồi: Ceramic chống dính 
• Vỏ nồi: Thép không gỉ 
• Nắp đậy: Thép không gỉ 
• Chức năng: Nấu lẩu, chiên xào, nướng, làm bánh 
• Điều chỉnh nhiệt: Nút gạt 
• Tiện ích:+ Có tay cầm chống nóng+ Lẩu và nướng kết hợp+ Có khay nướng+ Có khuôn làm bánh+ Dây điện tháo rời 
• Chiều dài dây điện: 121 cm
giá: 1981000",1981000,8,1300,0.0,4.0
622475,"Lò vi sóng , lò nướng","lò vi sóng , lò nướng , lò nướng bluestone eob-7567",M&ELN10003,2509800,2760780,25098,Giá trị đơn hàng > 20 triệu,2564800,2821280,51296,Giá trị đơn hàng từ 10-20 triệu,2782400,3060640,Lò Nướng Bluestone Eob-7567,"Loại lò nướng:Lò nướng thùng 
Dung tích:45 lít 
Công suất:2000W 
Hẹn giờ:Hẹn giờ lên tới 60 phút 
Nhiệt độ:100 - 230ºC 
Bảng điều khiển:Nút vặn 
Chất liệu:Cửa kính chịu nhiệt Khoang lò bằng thép không gỉ Vỏ bằng inox phủ sơn tĩnh điện 
Công nghệ làm nóng:Làm nóng bằng thanh nhiệt 
Chức năng chính:Nướng thực phẩm Chế độ nướng:Nướng dưới có quạt đối lưu Nướng trên: Nướng trên có quạt đối lưu Nướng trên có xiên quay Nướng trên có xiên quay và quạt đối lưu Nướng thanh nhiệt trên dưới Nướng trên dưới có nướng xiên quay và quạt đối lưuNướng trên dưới có quạt đối lưu 
Tiện ích: Nướng xiên quayQuạt đối lưu Đèn trong khoang lò
Kích thước, khối lượng:Ngang 56 cm - Cao 34.5 cm - Sâu 40.5 cm - Nặng 12.88 kgKích thước khoang lò:Ngang 40.5 cm - Cao 33 cm - Sâu 25.5 cm
giá: 3606640",3606640,8,2000,0.0,45.0
