PRODUCT_INFO_ID,GROUP_PRODUCT_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,PRODUCT_NAME,SPECIFICATION_BACKUP,RAW_PRICE,QUANTITY_SOLD,POWER,WEIGHT,VOLUME
577845,Nồi áp suất,"nồi áp suất , nồi áp suất điện kalite kl-636 6 lít",M&EGD000159,1622600,1784860,16226,Giá trị đơn hàng > 10 triệu,1659600,1825560,33192,Giá trị đơn hàng từ 5-10 triệu,1800400,1980440,Nồi áp suất điện KALITE KL-636 6 lít,"
• Thương hiệu: Kalite 
• Màu sắc: trắng và đen 
• Chất liệu: INOX 
• Dung tích: 6L 
• Điện áp: 220V/50Hz 
• Công suất: 1000W 
• Bảng điều khiển: Song ngữ Tiếng Việt + Tiếng Anh, điều khiển bằng nút điện tử
giá: 1980440",1980440,31,1000,0.0,0.0
509323,Nồi áp suất,"nồi áp suất , nồi áp suất bluestone pcb-5648 4,5 lít 900w",M&EAS100002,1673600,1840960,16736,Giá trị đơn hàng > 10 triệu,1710200,1881220,34204,Giá trị đơn hàng từ 5-10 triệu,1855300,2040830,"Nồi Áp Suất Bluestone PCB-5648 4,5 lít 900W","
• Công suất: 900W 
• Dung tích: 4.5 Lít 
• Chế độ nấu cài đặt sẵn: 13 Chế độ 
• Chất liệu vỏ ngoài: Hợp kim phủ sơn tĩnh điện 
• Chất liệu lòng nồi: Lòng nồi hợp kim nhôm chống dính 
• Chức năng khác: Nút ấn xả và van xả tự động, Bảng điều khiển núm vặn, Tính năng giữ ấm tự động sau khi kết thúc chương trình nấu 
• Khối lượng sản phẩm: 5kg 
• Màu sắc: Vàng đồng 
• Nhà sản xuất: Bluestone
giá: 2040830",2040830,25,900,5.0,4.5
509324,Nồi áp suất,"nồi áp suất , nồi áp suất bluestone pcb-5748",M&EAS100003,1673600,1840960,16736,Giá trị đơn hàng > 10 triệu,1710200,1881220,34204,Giá trị đơn hàng từ 5-10 triệu,1855300,2040830,Nồi Áp Suất Bluestone Pcb-5748,"Thương hiệu: Bluestone 
Mã sản phẩm: PCB-5748 Loại nồi áp suất Nồi áp suất điện 
Dung tích: thực 5L 
Công suất: 900W 
Chất liệu: nồi Vỏ ngoài thép sơn tĩnh điện Lòng nồi hợp kim nhôm chống dính 
Bảng điều khiển: Nút nhấn có màn hình hiển thị Chức năng chính Hầm thịt Nấu gân Nấu đậu Giữ ấm Hầm xương
giá: 2040830",2040830,8,900,0.0,0.0
574095,Nồi áp suất,"nồi áp suất , nồi áp suất aio smart aiopto3l23s/6co",M&EGD000243,1326600,1459260,39798,Giá trị đơn hàng > 20 triệu,1472200,1619420,117776,Giá trị đơn hàng từ 10-20 triệu,1887500,2076250,Nồi áp suất AIO Smart AIOPTO3L23S/6CO,"Công suất: 1350W 
Nguồn định mức: 220VAC - 50/60Hz 
Áp suất hoạt động: 80Kpa 
Dung tích: 6.0L 
Chất liệu lòng nồi: Hợp kim nhôm phủ chống dính 
Kích thước lòng nồi: Đường kính 240mm, dày 2.0mm 
Chức năng : hâm nóng, giữ ấm, nấu chậm, nấu sốt đặc, xào, hầm, làm sữa chua 
Van an toàn: 1 van chính, 1 van phụ Van xả áp tự động Tự ngắt khi quá nhiệt Tự làm sạch nồi Tự động giữ ấm sau khi nấu Chế độ hẹn giờ Điều chỉnh nhiệt độ Màn hình LED hiển thị nhiệt độ, thời gian 
Ngôn ngữ : Tiếng Việt 
Kích thước sản phẩm (DxRXC): 359.5x367x299 mm 
Khối lượng sản phẩm: 7.1 kg 
Thời gian bảo hành: 12 tháng 
Kích hoạt bảo hành điện tử: Có
giá: 2076250",2076250,69,1350,7.1,0.0
